,商品名稱,成交價,漲跌,漲%,前日收盤價
0,澳幣/加幣,0.9288,-0.0026,-0.28,0.9314
1,巴西雷亞爾/加幣,0.248,0.0016,0.65,0.2464
2,瑞郎/加幣,1.3398,-0.0064,-0.48,1.3462
3,離岸人民幣/加幣,0.1898,-0.0013,-0.68,0.1911
4,人民幣/加幣,0.1898,-0.0013,-0.68,0.1911
5,歐元/加幣,1.4687,-0.004,-0.27,1.4727
6,英鎊/加幣,1.7155,-0.0066,-0.38,1.7221
7,港幣/加幣,0.1584,-0.0007,-0.44,0.1591
8,印尼盾/加幣,0.0001,0.0,0.0,0.0001
9,印度盧比/加幣,0.0165,-0.0001,-0.6,0.0167
10,日幣/加幣,0.0111,-0.0001,-0.89,0.0112
11,韓元/加幣,0.0011,0.0,0.0,0.0011
12,馬來西亞令吉/加幣,0.2955,-0.0023,-0.77,0.2978
13,紐元/加幣,0.8642,0.0006,0.07,0.8636
14,菲律賓幣/加幣,0.0253,-0.0001,-0.39,0.0254
15,俄羅斯盧布/加幣,0.0169,0.0,0.0,0.0169
16,沙烏地里亞爾/加幣,0.32799999999999996,-0.0015,-0.46,0.3295
17,瑞典克朗/加幣,0.1451,0.0006,0.42,0.1445
18,新加坡幣/加幣,0.9153,-0.0045,-0.49,0.9198
19,泰銖/加幣,0.0388,-0.0003,-0.77,0.0391
20,台幣/加幣,0.044000000000000004,-0.0002,-0.45,0.0442
21,美元/加幣,1.2302,-0.0056,-0.45,1.2358
22,越南盾/加幣,0.0001,0.0,0.0,0.0001
23,南非蘭特/加幣,0.0861,-0.0007,-0.81,0.0868
